doc_id,termo_id,categoria,campo_cadastro,termo_pt,termo_en,abreviacao_pt,abreviacao_en,campo_texto,fonte_documental,idioma_declarado,idioma_detectado,data_extracao_glossario,data_processamento,glossario_versao,pipeline_versao,texto_bruto,texto_normalizado,tokens_lematizados,num_tokens_brutos,num_tokens_lematizados,entidades_detectadas,campos_extraidos,termos_relacionados,abrevs_encontradas,abrevs_expandidas,stopwords_removidas,unidade,norma_referencia,regra_normalizacao
CORP-0001,GE001,grandezas_eletricas,tensao_nominal_v,Tensão,Voltage,tens.,V,definicao_pt,norma_tecnica,pt,pt,2026-04-29,2026-05-09,v5,v1.0,"Diferença de potencial elétrico entre dois pontos do circuito. No contexto de motores industriais, refere-se à tensão nominal de alimentação da máquina, expressa em Volts (ex.: 380 V, 440 V, 13,8 kV).","Diferença de potencial elétrico entre dois pontos do circuito. No contexto de motores industriais, refere-se à tensão nominal de alimentação da máquina, expressa em Volts (ex.: 380 Tensão 440 Tensão 13,8 kV).",diferença | de | potencial | elétrico | entre | dois | pontos | do | circuito | contexto | de | motor | industrial | refere-se | tensão | nominal | de | alimentação | máquina | expressa | em | volts | ex | 380 | tensão | 440 | tensão | 13.8_kv,28,28,"13,8 kV",{'tensao_nominal_v': 13.8},GE001,2,2,2,V (Volt),NBR 17094 | IEC 60034-1,"Normalizar: tens. | U | Un | voltage | rated voltage | tensão_nominal → tensao_nominal_v. Regex: (?i)(tens\.?|u[n]?|voltage)\s*[:=]?\s*(\d+[\.,]?\d*)\s*(v|kv)"
CORP-0002,GE001,grandezas_eletricas,tensao_nominal_v,Tensão,Voltage,tens.,V,definicao_en,norma_tecnica,en,en,2026-04-29,2026-05-09,v5,v1.0,"Electric potential difference between two points in a circuit. In the context of industrial motors, refers to the nominal supply voltage of the machine, expressed in Volts (e.g., 380 V, 440 V, 13.8 kV).","Electric potential difference between two points in a circuit. In the context of industrial motors, refers to the nominal supply voltage of the machine, expressed in Volts (e.g., 380 Tensão 440 Tensão 13.8 kV).",electric | potential | difference | between | two | point | circuit | context | industrial | motor | refer | nominal | supply | voltage | machine | express | volt | e.g | 380 | tensão | 440 | tensão | 13.8_kv,30,23,13.8 kV,{'tensao_nominal_v': 13.8},TN001 | GE001,2,2,9,V (Volt),NBR 17094 | IEC 60034-1,"Normalizar: tens. | U | Un | voltage | rated voltage | tensão_nominal → tensao_nominal_v. Regex: (?i)(tens\.?|u[n]?|voltage)\s*[:=]?\s*(\d+[\.,]?\d*)\s*(v|kv)"
CORP-0003,GE001,grandezas_eletricas,tensao_nominal_v,Tensão,Voltage,tens.,V,observacoes_pt,norma_tecnica,pt,pt,2026-04-29,2026-05-09,v5,v1.0,Distinguir entre tensão de linha (VL) e tensão de fase (Vf). Para motores trifásicos: VL = √3 × Vf.,Distinguir entre tensão de linha (VL) e tensão de fase (Vf). Para motores trifásicos: VL = √3 × Vf.,distinguir | entre | tensão | de | linha | vl | tensão | de | fase | vf | motor | trifásicos | vl | vf,15,14,,{},GE001,0,0,1,V (Volt),NBR 17094 | IEC 60034-1,"Normalizar: tens. | U | Un | voltage | rated voltage | tensão_nominal → tensao_nominal_v. Regex: (?i)(tens\.?|u[n]?|voltage)\s*[:=]?\s*(\d+[\.,]?\d*)\s*(v|kv)"
CORP-0004,GE001,grandezas_eletricas,tensao_nominal_v,Tensão,Voltage,tens.,V,ambiguidades,norma_tecnica,pt,misto,2026-04-29,2026-05-09,v5,v1.0,U/u pode ser tensão ou unidade de rack industrial — contexto técnico de motor: U = tensão.,U/u pode ser tensão ou unidade de rack industrial — contexto técnico de motor: U = tensão.,u/u | pode | tensão | unidade | de | rack | industrial | contexto | técnico | de | motor: | u | tensão.,15,13,,{},GE001,0,0,2,V (Volt),NBR 17094 | IEC 60034-1,"Normalizar: tens. | U | Un | voltage | rated voltage | tensão_nominal → tensao_nominal_v. Regex: (?i)(tens\.?|u[n]?|voltage)\s*[:=]?\s*(\d+[\.,]?\d*)\s*(v|kv)"
CORP-0005,GE002,grandezas_eletricas,corrente_nominal_a,Corrente,Current,corr.,I,definicao_pt,norma_tecnica,pt,pt,2026-04-29,2026-05-09,v5,v1.0,Fluxo de cargas elétricas por unidade de tempo. A corrente nominal indica o valor de corrente para o qual o motor foi projetado em regime contínuo sob plena carga.,Fluxo de cargas elétricas por unidade de tempo. A corrente nominal indica o valor de corrente para o qual o motor foi projetado em regime contínuo sob plena carga.,fluxo | de | cargas | elétricas | unidade | de | tempo | a | corrente | nominal | indica | valor | de | corrente | qual | motor | projetado | em | regime | contínuo | plena | carga,26,22,,{},GE002,0,0,4,A (Ampere),IEC 60034-1 | NBR 17094,"Normalizar: cor. | I | In | current | rated current | corrente_nominal → corrente_nominal_a. Regex: (?i)(cor\.?|i[n]?|current)\s*[:=]?\s*(\d+[\.,]?\d*)\s*a"
CORP-0006,GE002,grandezas_eletricas,corrente_nominal_a,Corrente,Current,corr.,I,definicao_en,norma_tecnica,en,en,2026-04-29,2026-05-09,v5,v1.0,Flow of electric charges per unit of time. The rated current indicates the value for which the motor was designed under continuous full-load operation.,Flow of electric charges per unit of time. The rated current indicates the value for which the motor was designed under continuous full-load operation.,flow | electric | charg | per | unit | time | rat | current | indicat | value | motor | design | under | continuou | full-load | operation,24,16,,{},GE002,0,0,8,A (Ampere),IEC 60034-1 | NBR 17094,"Normalizar: cor. | I | In | current | rated current | corrente_nominal → corrente_nominal_a. Regex: (?i)(cor\.?|i[n]?|current)\s*[:=]?\s*(\d+[\.,]?\d*)\s*a"
CORP-0007,GE002,grandezas_eletricas,corrente_nominal_a,Corrente,Current,corr.,I,observacoes_pt,norma_tecnica,pt,misto,2026-04-29,2026-05-09,v5,v1.0,Corrente de partida (Ip) pode ser de 5 a 8 vezes a corrente nominal (In).,Corrente de partida (Ip) pode ser de 5 a 8 vezes a corrente nominal (In).,corrente | de | partida | Ip | pode | de | vezes | corrente | nominal,11,9,5 a,{'corrente_nominal_a': 5.0},GE002 | GE013,0,0,2,A (Ampere),IEC 60034-1 | NBR 17094,"Normalizar: cor. | I | In | current | rated current | corrente_nominal → corrente_nominal_a. Regex: (?i)(cor\.?|i[n]?|current)\s*[:=]?\s*(\d+[\.,]?\d*)\s*a"
CORP-0008,GE002,grandezas_eletricas,corrente_nominal_a,Corrente,Current,corr.,I,ambiguidades,norma_tecnica,pt,pt,2026-04-29,2026-05-09,v5,v1.0,"I pode ser corrente elétrica (A) ou corrente de proteção em códigos de relé (ex.: I> = pickup) — contexto de grandeza de motor: I + Ampere = corrente nominal. ""Amperagem"" é termo informal; adotar ""corrente"" como termo canônico.","Corrente pode ser corrente elétrica (A) ou corrente de proteção em códigos de relé (ex.: I> = pickup) — contexto de grandeza de motor: Corrente + Ampere = corrente nominal. ""Amperagem"" é termo informal; adotar ""corrente"" como termo canônico.","corrente | pode | corrente | elétrica | (a) | corrente | de | proteção | em | códigos | de | relé | (ex.: | i> | pickup) | contexto | de | grandeza | de | motor: | corrente | ampere | corrente | nominal. | ""amperagem"" | termo | informal; | adotar | ""corrente"" | termo | canônico.",34,31,,{},GE002,2,2,3,A (Ampere),IEC 60034-1 | NBR 17094,"Normalizar: cor. | I | In | current | rated current | corrente_nominal → corrente_nominal_a. Regex: (?i)(cor\.?|i[n]?|current)\s*[:=]?\s*(\d+[\.,]?\d*)\s*a"
CORP-0009,GE003,grandezas_eletricas,potencia_nominal_kw,Potência,Power,pot.,P,definicao_pt,norma_tecnica,pt,pt,2026-04-29,2026-05-09,v5,v1.0,"Potência é a taxa de realização de trabalho por unidade de tempo, expressa em kW ou CV. 1 CV = 0,7355 kW; 1 HP (inglês) = 0,7457 kW. CV e HP não são equivalentes e não devem ser usados como sinônimos sem observação.","Potência é a taxa de realização de trabalho por unidade de tempo, expressa em kW ou CV. 0.7355 kW = 0,7355 kW; 0.7457 kW (inglês) = 0,7457 kW. CV e HP não são equivalentes e não devem ser usados como sinônimos sem observação.",potência | taxa | de | realização | de | trabalho | unidade | de | tempo | expressa | em | kw | cv | 0.7355_kw | 0.7355_kw | 0.7457_kw | inglês | 0.7457_kw | cv | hp | não | são | equivalente | não | devem | usados | sinônimos | sem | observação,33,29,"0.7355 kW | 0,7355 kW | 0.7457 kW | 0,7457 kW",{'potencia_nominal_kw': 0.7457},GE003,0,2,4,kW ou CV (cavalo-vapor),IEC 60034-1 | NEMA MG1,"Normalizar: pot. | P | kW | CV | HP | power → potencia_nominal_kw. Regex: (?i)(pot\.?|p|power)\s*[:=]?\s*(\d+[\.,]?\d*)\s*(kw|cv|hp)"
CORP-0010,GE003,grandezas_eletricas,potencia_nominal_kw,Potência,Power,pot.,P,definicao_en,norma_tecnica,en,en,2026-04-29,2026-05-09,v5,v1.0,"Power is the rate of work per unit time, expressed in kW or HP. 1 HP = 0.7457 kW; 1 metric CV = 0.7355 kW. CV and HP are not equivalent and must not be used interchangeably without qualification.","Power Corrente de Partida the rate of work per unit time, expressed in kW or HP. 0.7457 kW = 0.7457 kW; 1 metric CV = 0.7355 kW. CV and HP are not equivalent and must not be used interchangeably without qualification.",Power | corrente | de | partida | rate | work | per | unit | time | express | kw | or | hp | 0.7457_kw | 0.7457_kw | metric | cv | 0.7355_kw | cv | and | hp | not | equivalent | and | not | used | interchangeably | without | qualification,33,29,0.7457 kW | 0.7457 kW | 0.7355 kW,{'potencia_nominal_kw': 0.7355},GE003,1,2,6,kW ou CV (cavalo-vapor),IEC 60034-1 | NEMA MG1,"Normalizar: pot. | P | kW | CV | HP | power → potencia_nominal_kw. Regex: (?i)(pot\.?|p|power)\s*[:=]?\s*(\d+[\.,]?\d*)\s*(kw|cv|hp)"
CORP-0011,GE003,grandezas_eletricas,potencia_nominal_kw,Potência,Power,pot.,P,observacoes_pt,norma_tecnica,pt,pt,2026-04-29,2026-05-09,v5,v1.0,"Distinguir potência ativa (kW), reativa (kVAr) e aparente (kVA). Em placas brasileiras, frequentemente indicado em CV.","Distinguir potência ativa (kW), reativa (kVAr) e aparente (kVA). Em placas brasileiras, frequentemente indicado em CV.",distinguir | potência | ativa | kw | reativa | kvar | aparente | kva | em | placas | brasileiras | frequentemente | indicado | em | cv,15,15,,{},NC001 | GE003,0,0,0,kW ou CV (cavalo-vapor),IEC 60034-1 | NEMA MG1,"Normalizar: pot. | P | kW | CV | HP | power → potencia_nominal_kw. Regex: (?i)(pot\.?|p|power)\s*[:=]?\s*(\d+[\.,]?\d*)\s*(kw|cv|hp)"
CORP-0012,GE003,grandezas_eletricas,potencia_nominal_kw,Potência,Power,pot.,P,ambiguidades,norma_tecnica,pt,pt,2026-04-29,2026-05-09,v5,v1.0,"P pode significar Potência (kW/CV/HP) ou Número de Polos — desambiguar pela unidade seguinte: kW/CV/HP = potência; ""polos"" ou fórmula ns=120f/P = polos.","Número de Polos pode significar Potência (kW/CV/HP) ou Número de Polos — desambiguar pela unidade seguinte: kW/CV/HP = potência; ""polos"" ou fórmula ns=120f/P = polos.","número | de | polo | pode | significar | potência | (kw/cv/hp) | número | de | polo | desambiguar | pela | unidade | seguinte: | kw/cv/hp | potência; | ""polos"" | fórmula | ns=120f/p | polos.",20,20,,{},PO003 | GE003,1,1,2,kW ou CV (cavalo-vapor),IEC 60034-1 | NEMA MG1,"Normalizar: pot. | P | kW | CV | HP | power → potencia_nominal_kw. Regex: (?i)(pot\.?|p|power)\s*[:=]?\s*(\d+[\.,]?\d*)\s*(kw|cv|hp)"
CORP-0013,GE004,grandezas_eletricas,frequencia_hz,Frequência,Frequency,freq.,f,definicao_pt,norma_tecnica,pt,pt,2026-04-29,2026-05-09,v5,v1.0,"Número de ciclos completos da corrente alternada por segundo. No Brasil, a frequência padrão da rede elétrica é 60 Hz. Em países europeus e asiáticos, predomina 50 Hz.","Número de ciclos completos da corrente alternada por segundo. No Brasil, a frequência padrão da rede elétrica é 60 Hz. Em países europeus e asiáticos, predomina 50 Hz.",número | de | ciclos | completos | corrente | alternada | brasil | frequência | padrão | rede | elétrica | 60_hz | em | países | europeus | asiáticos | predomina | 50_hz,23,18,60 Hz | 50 Hz,{'frequencia_hz': 50.0},GE002 | GE004,0,0,5,Hz (Hertz),IEC 60034-1 | NBR 17094,"Normalizar: freq. | f | Hz | frequency → frequencia_hz. Regex: (?i)(freq\.?|f|hz)\s*[:=]?\s*(\d+[\.,]?\d*)\s*hz"
CORP-0014,GE004,grandezas_eletricas,frequencia_hz,Frequência,Frequency,freq.,f,definicao_en,norma_tecnica,en,en,2026-04-29,2026-05-09,v5,v1.0,"Number of complete alternating current cycles per second. In Brazil, the standard grid frequency is 60 Hz. In European and Asian countries, 50 Hz predominates.","Number of complete alternating current cycles per second. In Brazil, the standard grid frequency Corrente de Partida 60 Hz. In European and Asian countries, 50 Hz predominates.",number | complete | alternat | current | cycl | per | second | brazil | standard | grid | frequency | corrente | de | partida | 60_hz | european | and | asian | country | 50_hz | predominat,23,21,60 Hz | 50 Hz,{'frequencia_hz': 50.0},GE008 | GE002 | GE004,1,1,4,Hz (Hertz),IEC 60034-1 | NBR 17094,"Normalizar: freq. | f | Hz | frequency → frequencia_hz. Regex: (?i)(freq\.?|f|hz)\s*[:=]?\s*(\d+[\.,]?\d*)\s*hz"
CORP-0015,GE004,grandezas_eletricas,frequencia_hz,Frequência,Frequency,freq.,f,observacoes_pt,norma_tecnica,pt,pt,2026-04-29,2026-05-09,v5,v1.0,A frequência impacta diretamente a velocidade síncrona: ns = (120 × f) / p.,A frequência impacta diretamente a velocidade síncrona: Velocidade Síncrona = (120 × f) / Número de Polos,a | frequência | impacta | diretamente | velocidade | síncrona | velocidade | síncrona | 120 | f | número | de | polo,9,13,,{},PO007 | GE004,2,2,0,Hz (Hertz),IEC 60034-1 | NBR 17094,"Normalizar: freq. | f | Hz | frequency → frequencia_hz. Regex: (?i)(freq\.?|f|hz)\s*[:=]?\s*(\d+[\.,]?\d*)\s*hz"
CORP-0016,GE004,grandezas_eletricas,frequencia_hz,Frequência,Frequency,freq.,f,ambiguidades,norma_tecnica,pt,pt,2026-04-29,2026-05-09,v5,v1.0,"f pode ser frequência elétrica (Hz) ou frequência de vibração (Hz) — o contexto desambigua: frequência elétrica associada a tensão/corrente (50 Hz, 60 Hz); frequência de vibração associada a espectro de aceleração/velocidade. Registrar sufixo: f_eletrica vs. f_vibracao quando ambiguidade for possível.","Frequência pode ser frequência elétrica (Hz) ou frequência de vibração (Hz) — o contexto desambigua: frequência elétrica associada a tensão/corrente (50 Hz, 60 Hz); frequência de vibração associada a espectro de aceleração/velocidade. Registrar sufixo: f_eletrica vs. f_vibracao quando ambiguidade for possível.","frequência | pode | frequência | elétrica | (hz) | frequência | de | vibração | (hz) | contexto | desambigua: | frequência | elétrica | associada | tensão/corrente | (50_hz, | 60_hz); | frequência | de | vibração | associada | espectro | de | aceleração/velocidade. | registrar | sufixo: | f_eletrica | vs. | f_vibracao | quar | ambiguidade | possível.",35,32,50 Hz | 60 Hz,{'frequencia_hz': 60.0},GE002 | GM004 | GE001 | GE004,1,1,3,Hz (Hertz),IEC 60034-1 | NBR 17094,"Normalizar: freq. | f | Hz | frequency → frequencia_hz. Regex: (?i)(freq\.?|f|hz)\s*[:=]?\s*(\d+[\.,]?\d*)\s*hz"
CORP-0017,GE005,grandezas_eletricas,fator_potencia,Fator de Potência,Power Factor,fp,PF,definicao_pt,norma_tecnica,pt,pt,2026-04-29,2026-05-09,v5,v1.0,"Relação entre potência ativa (kW) e potência aparente (kVA), expresso por cos φ. Indica a defasagem entre tensão e corrente em cargas lineares e incorpora o efeito de distorção harmônica em cargas não-lineares. Não deve ser confundido com rendimento.","Relação entre potência ativa (kW) e potência aparente (kVA), expresso por cos φ. Indica a defasagem entre tensão e corrente em cargas lineares e incorpora o efeito de distorção harmônica em cargas não-lineares. Não deve ser confundido com rendimento.",relação | entre | potência | ativa | kw | potência | aparente | kva | expresso | cos | indica | defasagem | entre | tensão | corrente | em | cargas | linear | incorpora | efeito | de | distorção | harmônica | em | cargas | não-linear | não | deve | confundido | rendimento,33,30,,{},GE006 | GE005 | GE002 | GE001 | GE003,0,0,3,adimensional (0 a 1),IEC 60034-1 | NBR 17094,Normalizar: fp | FP | cos φ | pf | power factor | cosfi → fator_potencia. Ambiguidade: FP pode ser fator de potência ou frequência de pulso — verificar contexto.
CORP-0018,GE005,grandezas_eletricas,fator_potencia,Fator de Potência,Power Factor,fp,PF,definicao_en,norma_tecnica,en,en,2026-04-29,2026-05-09,v5,v1.0,"Ratio of active power (kW) to apparent power (kVA), expressed as cos φ. Reflects phase displacement in linear loads and harmonic distortion in non-linear loads. Must not be confused with efficiency (mechanical output/input ratio).","Ratio of active power (kW) to apparent power (kVA), expressed as cos φ. Reflects phase displacement in linear loads and harmonic distortion in non-linear loads. Must not be confused with efficiency (mechanical output/input ratio).",ratio | active | power | kw | apparent | power | kva | express | cos | reflect | phase | displacement | linear | load | and | harmonic | distortion | non-linear | load | not | confus | with | efficiency | mechanical | output | input | ratio,34,27,,{},GE005 | GE006 | GE003,0,0,7,adimensional (0 a 1),IEC 60034-1 | NBR 17094,Normalizar: fp | FP | cos φ | pf | power factor | cosfi → fator_potencia. Ambiguidade: FP pode ser fator de potência ou frequência de pulso — verificar contexto.
