variante,termo_canonico
absolute encoder,Encoder
ac drive,Inversor de Frequência
ac induction motor,Motor de Indução Trifásico
accel.,Acelerômetro
acionamento_tipo,Inversor de Frequência
acr,Análise de Causa Raiz
across-the-line starting,Partida Direta
active alarm,Alarme
aging model,Modelo de Degradação
ai-generated report,Geração de Linguagem Natural
alarm condition,Alarme
alarme ativo,Alarme
alert,Alarme
alerta,Alarme
alm,Alarme
alt.,Altitude
altitude de operação,Altitude
altitude_instalacao_m,Altitude
ambient air temperature,Temperatura Ambiente
amperage,Corrente
amperagem,Corrente
amplitude de vibração,Vibração
angular misalignment,Desalinhamento
angular velocity,Rotação
anti-condensation heater,Resistência de Aquecimento
análise de assinatura de corrente do motor,MCSA
análise de falha,Análise de Causa Raiz
análise de lubrificante,Análise de Óleo
análise espectral,Análise de Vibração
análise lubrificante,Análise de Óleo
ao.,Análise de Óleo
aquecedor de motor,Resistência de Aquecimento
aquecimento do motor,Elevação de Temperatura
armature winding,Enrolamento
asset description field,Descrição do Ativo
asset knowledge graph,Ontologia do Ativo
asset ontology,Ontologia do Ativo
asset semantic model,Ontologia do Ativo
asset status,Status Operacional
asset tag,TAG
asset-replica sync,Sincronização de Estado
atex,Proteção contra Explosão
atualização do gêmeo,Sincronização de Estado
atuação de proteção,Desarme
automated narrative,Geração de Linguagem Natural
automated text generation,Geração de Linguagem Natural
av.,Análise de Vibração
availability status,Status Operacional
aviso,Alarme
baixa tensão,Subtensão
ball bearing,Rolamento
barra rompida,Barra de Rotor Quebrada
bearing assembly,Rolamento
bearing current,Corrente de Eixo
bearing damage,Falha em Rolamento
bearing defect,Falha em Rolamento
bearing failure,Falha em Rolamento
bearing greasing,Lubrificação
bearing temperature,Temperatura
bloqueio de segurança,Intertravamento
bobinagem,Enrolamento
borne,Caixa de Ligação
brand,Fabricante
brazilian conformity certification,Certificação INMETRO
brazilian motor standard,NBR 17094
brb,Barra de Rotor Quebrada
brg.,Rolamento
brg_fault,Falha em Rolamento
cage motor,Motor de Rotor Gaiola de Esquilo
caixa de terminais,Caixa de Ligação
campo de descrição,Descrição do Ativo
carc.,Carcaça
carcaca_frame,Carcaça
carcaca_iec,Carcaça IEC
carimbo de tempo,Timestamp
cbm,Manutenção Preditiva
cc-esp.,Curto-Circuito entre Espiras
cc-terra,Curto à Terra
ccm,Centro de Controle de Motores
ce,Corrente de Eixo
certificacao_inmetro,Certificação INMETRO
certificado de conformidade,Certificação INMETRO
chave de partida direta,Partida Direta
chave eletrônica de partida,Soft-Starter
chemical contamination,Contaminação
chumaceira,Rolamento
ciclo de serviço,Regime de Serviço
cl. temp.,Classe de Isolamento
classe de temperatura do isolamento,Classe de Isolamento
classe térmica,Classe de Isolamento
classe_eficiencia_ie,Classe de Eficiência
classe_isolamento,Classe de Isolamento
classe_termica_isolamento,Enrolamento
codificador de posição,Encoder
coil winding,Enrolamento
componente_estator,Estator
componente_rotor,Rotor
componentes harmônicos,Harmônicos
compulsory certification,Certificação INMETRO
condition-based maintenance,Manutenção Preditiva
condição de alarme,Alarme
condição de bloqueio,Intertravamento
condição do ativo,Status Operacional
conectividade_iiot,Telemetria de Sensor
configured threshold,Setpoint
conjugado,Torque
conn.,Ligação do Enrolamento
connection box,Caixa de Ligação
constant speed motor,Motor Síncrono
contador de horas,Horímetro
contam,Contaminação
contam.,Contaminação
contaminação por umidade,Contaminação
conversor de frequência,Inversor de Frequência
cooling blower,Ventilador
cooling impeller,Ventilador
corpo do motor,Carcaça
corr.,Corrente
corrente de arranque,Corrente de Partida
corrente de descarga,Corrente de Eixo
corrente excessiva,Sobrecorrente
corrente parasita de eixo,Corrente de Eixo
corrente_nominal_a,Corrente
corrente_partida_a,Corrente de Partida
cos phi,Fator de Potência
cos φ,Fator de Potência
cosseno phi,Fator de Potência
coupling misalignment,Desalinhamento
critical fault,Desarme
current harmonics,Harmônicos
current intensity,Corrente
curto ao terra,Curto à Terra
curto entre espiras,Curto-Circuito entre Espiras
curtocircuito de enrolamento,Curto-Circuito entre Espiras
curva de vida útil,Modelo de Degradação
cx. lig.,Caixa de Ligação
câmera termográfica,Termografia
código de instrumento,TAG
código do ativo,TAG
código do modelo,Modelo
dados de placa,Especificação Técnica
dados de sensores em tempo real,Telemetria de Sensor
dados iiot,Telemetria de Sensor
dados_placa,Placa de Identificação
dar,Índice de Polarização
data e hora do evento,Timestamp
data plate,Placa de Identificação
datasheet,Especificação Técnica
defeito de rolamento,Falha em Rolamento
deg. model,Modelo de Degradação
degradação de isolamento,Falha de Isolamento
delta connection,Ligação do Enrolamento
desalin.,Desalinhamento
desalinhamento de acoplamento,Desalinhamento
desalinhamento de eixo,Desalinhamento
desbalanceamento,Desequilíbrio de Rotor
desbalanceamento de tensão,Desequilíbrio de Tensão
desbalanceamento dinâmico,Desequilíbrio de Rotor
desbalanceamento estático,Desequilíbrio de Rotor
desc.,Descrição do Ativo
descricao_ativo,Geração de Linguagem Natural
descrição do equipamento,Descrição do Ativo
descrição funcional,Descrição do Ativo
deseq. rot.,Desequilíbrio de Rotor
deseq. tens.,Desequilíbrio de Tensão
desequilibrio_tensao_percent,Desequilíbrio de Tensão
desligamento por proteção,Desarme
deslizamento,Escorregamento
