id,categoria,termo_pt,termo_en,abreviacao_pt,abreviacao_en,sinonimos_pt,sinonimos_en,unidade,definicao_pt,definicao_en,valores_tipicos,norma_referencia,campo_cadastro,observacoes_pt,observacoes_en,data_extracao,idioma,fonte_documental,regra_normalizacao,ambiguidades,relacao_pai,relacoes_filhos,relacoes_relacionados
GE001,grandezas_eletricas,Tensão,Voltage,tens.,V,voltagem | diferença de potencial,potential difference | electromotive force,V (Volt),"Diferença de potencial elétrico entre dois pontos do circuito. No contexto de motores industriais, refere-se à tensão nominal de alimentação da máquina, expressa em Volts (ex.: 380 V, 440 V, 13,8 kV).","Electric potential difference between two points in a circuit. In the context of industrial motors, refers to the nominal supply voltage of the machine, expressed in Volts (e.g., 380 V, 440 V, 13.8 kV).",220 V | 380 V | 440 V | 690 V | 4160 V | 6900 V | 13800 V,NBR 17094 | IEC 60034-1,tensao_nominal_v,Distinguir entre tensão de linha (VL) e tensão de fase (Vf). Para motores trifásicos: VL = √3 × Vf.,Distinguish between line voltage (VL) and phase voltage (Vf). For three-phase motors: VL = √3 × Vf.,2026-04-29,pt-BR / en-US,norma_tecnica,"Normalizar: tens. | U | Un | voltage | rated voltage | tensão_nominal → tensao_nominal_v. Regex: (?i)(tens\.?|u[n]?|voltage)\s*[:=]?\s*(\d+[\.,]?\d*)\s*(v|kv)",U/u pode ser tensão ou unidade de rack industrial — contexto técnico de motor: U = tensão.,,GE009,GE002 | GE003 | GE005
GE002,grandezas_eletricas,Corrente,Current,corr.,I,intensidade de corrente | amperagem,amperage | current intensity,A (Ampere),Fluxo de cargas elétricas por unidade de tempo. A corrente nominal indica o valor de corrente para o qual o motor foi projetado em regime contínuo sob plena carga.,Flow of electric charges per unit of time. The rated current indicates the value for which the motor was designed under continuous full-load operation.,Variável conforme potência e tensão,IEC 60034-1 | NBR 17094,corrente_nominal_a,Corrente de partida (Ip) pode ser de 5 a 8 vezes a corrente nominal (In).,Starting current (Ip) can be 5 to 8 times the rated current (In).,2026-04-29,pt-BR / en-US,norma_tecnica,"Normalizar: cor. | I | In | current | rated current | corrente_nominal → corrente_nominal_a. Regex: (?i)(cor\.?|i[n]?|current)\s*[:=]?\s*(\d+[\.,]?\d*)\s*a","I pode ser corrente elétrica (A) ou corrente de proteção em códigos de relé (ex.: I> = pickup) — contexto de grandeza de motor: I + Ampere = corrente nominal. ""Amperagem"" é termo informal; adotar ""corrente"" como termo canônico.",,,GE001 | GE003 | GE007
GE003,grandezas_eletricas,Potência,Power,pot.,P,potência nominal | potência de eixo,rated power | shaft power | output power,kW ou CV (cavalo-vapor),"Potência é a taxa de realização de trabalho por unidade de tempo, expressa em kW ou CV. 1 CV = 0,7355 kW; 1 HP (inglês) = 0,7457 kW. CV e HP não são equivalentes e não devem ser usados como sinônimos sem observação.","Power is the rate of work per unit time, expressed in kW or HP. 1 HP = 0.7457 kW; 1 metric CV = 0.7355 kW. CV and HP are not equivalent and must not be used interchangeably without qualification.","0,18 kW | 0,37 kW | 0,75 kW | 1,5 kW | 3 kW | 7,5 kW | 15 kW | 37 kW | 75 kW | 110 kW | 200 kW",IEC 60034-1 | NEMA MG1,potencia_nominal_kw,"Distinguir potência ativa (kW), reativa (kVAr) e aparente (kVA). Em placas brasileiras, frequentemente indicado em CV.","Distinguish between active power (kW), reactive power (kVAr) and apparent power (kVA). On Brazilian nameplates, often indicated in HP (CV).",2026-04-29,pt-BR / en-US,norma_tecnica,"Normalizar: pot. | P | kW | CV | HP | power → potencia_nominal_kw. Regex: (?i)(pot\.?|p|power)\s*[:=]?\s*(\d+[\.,]?\d*)\s*(kw|cv|hp)","P pode significar Potência (kW/CV/HP) ou Número de Polos — desambiguar pela unidade seguinte: kW/CV/HP = potência; ""polos"" ou fórmula ns=120f/P = polos.",,GE006,GE001 | GE002 | GE004 | GE005
GE004,grandezas_eletricas,Frequência,Frequency,freq.,f,frequência de rede | frequência nominal,line frequency | supply frequency | rated frequency,Hz (Hertz),"Número de ciclos completos da corrente alternada por segundo. No Brasil, a frequência padrão da rede elétrica é 60 Hz. Em países europeus e asiáticos, predomina 50 Hz.","Number of complete alternating current cycles per second. In Brazil, the standard grid frequency is 60 Hz. In European and Asian countries, 50 Hz predominates.",50 Hz | 60 Hz,IEC 60034-1 | NBR 17094,frequencia_hz,A frequência impacta diretamente a velocidade síncrona: ns = (120 × f) / p.,Frequency directly impacts synchronous speed: ns = (120 × f) / p.,2026-04-29,pt-BR / en-US,norma_tecnica,"Normalizar: freq. | f | Hz | frequency → frequencia_hz. Regex: (?i)(freq\.?|f|hz)\s*[:=]?\s*(\d+[\.,]?\d*)\s*hz","f pode ser frequência elétrica (Hz) ou frequência de vibração (Hz) — o contexto desambigua: frequência elétrica associada a tensão/corrente (50 Hz, 60 Hz); frequência de vibração associada a espectro de aceleração/velocidade. Registrar sufixo: f_eletrica vs. f_vibracao quando ambiguidade for possível.",,,GE001 | GE003
GE005,grandezas_eletricas,Fator de Potência,Power Factor,fp,PF,cos φ | cosseno phi,cos phi | displacement power factor,adimensional (0 a 1),"Relação entre potência ativa (kW) e potência aparente (kVA), expresso por cos φ. Indica a defasagem entre tensão e corrente em cargas lineares e incorpora o efeito de distorção harmônica em cargas não-lineares. Não deve ser confundido com rendimento.","Ratio of active power (kW) to apparent power (kVA), expressed as cos φ. Reflects phase displacement in linear loads and harmonic distortion in non-linear loads. Must not be confused with efficiency (mechanical output/input ratio).","0,75 a 0,92 (plena carga)",IEC 60034-1 | NBR 17094,fator_potencia,Baixo fp aumenta corrente reativa e pode gerar multas na tarifa de energia. Recomenda-se correção por banco de capacitores.,Low PF increases reactive current and may generate energy tariff penalties. Correction via capacitor banks is recommended.,2026-04-29,pt-BR / en-US,norma_tecnica,Normalizar: fp | FP | cos φ | pf | power factor | cosfi → fator_potencia. Ambiguidade: FP pode ser fator de potência ou frequência de pulso — verificar contexto.,FP pode ser Fator de Potência ou Frequência de Pulso em contextos de inversores.,,,GE003 | GE006
GE006,grandezas_eletricas,Rendimento,Efficiency,rend.,η (eta),eficiência | eficiência energética,energy efficiency | motor efficiency,% (percentual),Relação entre a potência mecânica fornecida no eixo e a potência elétrica absorvida da rede. Motores de alta eficiência (IE3/IE4) apresentam rendimento acima de 90%.,Ratio between the mechanical power delivered at the shaft and the electrical power absorbed from the grid. High-efficiency motors (IE3/IE4) present efficiency above 90%.,IE1: 80–88% | IE2: 84–91% | IE3: 88–94% | IE4: 91–96%,IEC 60034-30 | NBR 17094-3,rendimento_percent,"Classes de eficiência: IE1 (padrão), IE2 (alto), IE3 (premium), IE4 (super premium).","Efficiency classes: IE1 (standard), IE2 (high), IE3 (premium), IE4 (super premium).",2026-04-29,pt-BR / en-US,norma_tecnica,"Normalizar: rend. | η | eta | eff | efficiency | rendimento → rendimento_percent. Regex: (?i)(rend\.?|[ηη]|eta|eff(?:iciency)?)\s*[:=]?\s*(\d+[.,]?\d*)\s*%?",η pode representar rendimento (eficiência) ou viscosidade dinâmica em lubrificantes — contexto motor elétrico: η = rendimento energético (%).,GE003,,GE005 | GE007
GE007,grandezas_eletricas,Resistência de Isolamento,Insulation Resistance,RI,IR,megaohmagem,megger test value | insulation megohms,MΩ (Megaohm),Medida da resistência oferecida pelo sistema de isolamento do enrolamento à passagem de corrente de fuga. Valor mínimo aceitável: 1 MΩ/kV de tensão nominal (regra geral IEEE 43).,Measurement of resistance offered by the winding insulation system to leakage current flow. Minimum acceptable value: 1 MΩ/kV of rated voltage (general IEEE 43 rule).,> 100 MΩ (novo) | > 10 MΩ (operação) | < 1 MΩ (crítico),IEEE 43 | IEC 60034-27,resistencia_isolamento_mohm,Medição realizada com megôhmetro (megger). Temperatura e umidade influenciam significativamente o resultado.,Measurement performed with a megohmmeter (megger). Temperature and humidity significantly influence the result.,2026-04-29,pt-BR / en-US,norma_tecnica,"Normalizar: Riso | R.iso | IR | RI | insulation resistance | resist. isolamento → resistencia_isolamento_mohm. Regex: (?i)(r\.?iso|r_iso|ir|ri|insul\w*)\s*[:=]?\s*(\d+[.,]?\d*)\s*(m?[oΩ])","IR (Insulation Resistance) pode ser confundido com ""infravermelho"" (infrared) em contextos de termografia — desambiguar pelo campo técnico: IR + MΩ = resistência de isolamento.",,,GE002 | GE008
GE008,grandezas_eletricas,Índice de Polarização,Polarization Index,PI,PI,razão de absorção dielétrica | índice dielétrico,dielectric absorption ratio | DAR | PI ratio,adimensional,Razão entre a resistência de isolamento medida em 10 minutos e a medida em 1 minuto (PI = RI10min / RI1min). Indica a qualidade e integridade do sistema de isolamento.,Ratio between the insulation resistance measured at 10 minutes and at 1 minute (PI = IR10min / IR1min). Indicates the quality and integrity of the insulation system.,"< 1,0: perigoso | 1,0–2,0: questionável | 2,0–4,0: bom | > 4,0: excelente",IEEE 43,indice_polarizacao,"Valores baixos indicam contaminação por umidade, sujeira ou degradação do verniz.","Low values indicate contamination by moisture, dirt, or varnish degradation.",2026-04-29,pt-BR / en-US,norma_tecnica,Normalizar: PI | IP | P.I. | polarization index | índice polarização → indice_polarizacao. Regex: (?i)(p\.?i\.?|polarization\s*index|índice\s*de\s*polariza),"IP no contexto de isolamento pode ser Índice de Polarização (adimensional, razão R10min/R1min) ou Grau de Proteção (IP54, IP55) — distinguir pela presença de valor numérico duplo (ex. 1.6) vs. código alfanumérico (ex. IP54).",,,GE007 | GE002
GE009,grandezas_eletricas,Desequilíbrio de Tensão,Voltage Unbalance,deseq. tens.,VU,desbalanceamento de tensão,voltage imbalance,%,"Diferença percentual entre as tensões de fase em um sistema trifásico. Desequilíbrios acima de 1% causam aumento de temperatura nos enrolamentos. Acima de 5%, pode causar danos permanentes.","Percentage difference between phase voltages in a three-phase system. Imbalances above 1% cause winding temperature increase. Above 5%, may cause permanent damage.",< 1% ideal | 1–3% aceitável | > 3% crítico,NEMA MG1 | IEC 60034-26,desequilibrio_tensao_percent,Cada 1% de desequilíbrio de tensão pode aumentar as perdas no motor em até 6–10%.,Each 1% voltage unbalance can increase motor losses by up to 6–10%.,2026-04-29,pt-BR / en-US,norma_tecnica,"Normalizar: VUF | PVUR | desq. tensão | voltage unbalance | desequilíbrio → desequilibrio_tensao_percent. Regex: (?i)(vuf|pvur|desq\.?\s*tens|unbal\w*)\s*[:=]?\s*(\d+[.,]?\d*)\s*%?",Desequilíbrio de tensão pode ser calculado pelo método NEMA (PVUR) ou IEC (VUF) — resultados numéricos divergem; registrar o método de cálculo junto ao valor.,GE001,,GE001 | GE010
GE010,grandezas_eletricas,Harmônicos,Harmonics,harm.,harm.,componentes harmônicos | harmônicas de tensão | harmônicas de corrente,harmonic components | voltage harmonics | current harmonics,%,"Componentes senoidais de frequências múltiplas inteiras da fundamental (50 ou 60 Hz), presentes em tensão e corrente com cargas não-lineares como inversores e retificadores. Diferente de THD (GE011), que é a métrica agregada.","Sinusoidal components at integer multiples of the fundamental frequency (50 or 60 Hz). Distinct from THD (GE011), which is the aggregate metric.",THD < 5% recomendado,IEC 61000-4-7 | IEEE 519 | IEC 61000-2-2,thd_percent,Motores alimentados por inversores devem ter fator de serviço adequado para compensar as perdas adicionais por harmônicos.,Inverter-fed motors should have an adequate service factor to compensate for additional harmonic losses.,2026-04-29,pt-BR / en-US,norma_tecnica,"Normalizar: harm. | harmonic | harmônicos | THD (quando genérico) → thd_percent. Regex: (?i)(harm[oô]n\w*|thd)\s*[:=]?\s*(\d+[.,]?\d*)\s*%?","""Harmônicos"" é categoria geral; harmônica individual (ex.: 5ª, 7ª) requer campo específico. Não confundir com THD (soma total) — se valor único disponível, assumir THD.",,,GE001 | GE009
